feature,importance
avg_general_vader_score,0.03248789
is_month_end,0.031811643
avg_general_textblob_score,0.03130254
avg_general_crypto_keywords_score,0.026457287
is_quarter_end,0.025831169
avg_general_cryptobert_score,0.022775179
quarter,0.021308675
risk_on_off,0.01949878
spx,0.0194704
dxy,0.01942932
dollar_strength,0.01931756
vix,0.019004498
fed_funds_rate,0.018735554
day_of_week,0.01785527
month_cos,0.017668527
is_month_start,0.017586505
near_high,0.016394477
day_sin,0.016134096
avg_vader_score,0.015871914
month,0.015813867
momentum_10_rank,0.01570779
avg_textblob_score,0.015354722
month_sin,0.015334215
day_cos,0.015280715
avg_cryptobert_score,0.0151256835
avg_finbert_sentiment_score,0.014652267
avg_volatility_sentiment,0.014595686
avg_fear_greed_score,0.014568517
crypto_sentiment_count,0.014369565
avg_risk_appetite,0.014269721
avg_crypto_keywords_score,0.014232386
stock_sentiment_count,0.013564584
rsi_oversold,0.013210813
avg_crypto_correlation,0.013036384
macro_stress,0.012953069
market_cap,0.012714783
rsi_overbought,0.011528073
is_weekend,0.009630948
price_vs_ma_50,0.009499046
momentum_50,0.008871349
price_vs_ma_100,0.008816628
momentum_50_rank,0.008782585
macd_histogram,0.008460927
price_change_percentage_24h,0.008302906
rsi_momentum,0.008122331
rsi_14,0.007916543
ma_100_slope,0.007843999
volatility_50_rank,0.007803443
ma_20_slope,0.0076987483
stoch_k,0.0076628784
id,0.007644716
volatility_50,0.0076040505
vwap,0.0074451133
price_change_24h,0.007393504
macd_signal,0.0073633255
ema_12,0.0072508818
stoch_d,0.0072472016
ma_5,0.0071197753
momentum_3_rank,0.007061603
ma_50_slope,0.00705278
momentum_1_rank,0.00703508
macd_line,0.0070232693
volatility_10_rank,0.0068640835
volatility_20_rank,0.006829453
ma_100,0.006755271
volatility_5_rank,0.006618253
sma_20,0.006595747
ema_26,0.0065825293
volume_ratio_20,0.006516436
bb_lower,0.0064694677
current_price,0.0064613367
data_quality_score,0.0064335996
bb_upper,0.0064246794
hourly_volume,0.0063960445
atr_14,0.006247795
ma_50,0.006197008
volume_ratio_5,0.0061579463
momentum_5_rank,0.0061407243
volume_24h,0.0061140647
sma_50,0.0060475315
ma_10,0.005975429
volume_ratio_10,0.005958667
bb_middle,0.005892726
general_crypto_sentiment_count,0.004413403
social_post_count,0.0
social_avg_sentiment,0.0
price_hour,0.0
social_unique_authors,0.0
hour,0.0
social_avg_confidence,0.0
social_total_engagement,0.0
volatility_10,0.0
ma_20,0.0
ma_5_slope,0.0
volatility_5,0.0
price_vs_ma_20,0.0
hour_sin,0.0
hour_cos,0.0
is_asian_session,0.0
is_european_session,0.0
price_vs_ma_5,0.0
ma_10_slope,0.0
price_vs_ma_10,0.0
is_us_market_hours,0.0
volatility_20,0.0
momentum_20_rank,0.0
momentum_20,0.0
momentum_10,0.0
momentum_3,0.0
momentum_1,0.0
momentum_5,0.0
volume_price_corr,0.0
bb_position,0.0
near_low,0.0
price_position,0.0
bb_squeeze,0.0
btc_relative_performance,0.0
btc_beta,0.0
btc_correlation,0.0
rsi_momentum_interaction,0.0
